Name of School,Type,Address,Boys/Girls,Registration Status,Open Day / Evening,Registration Opens,Registration Deadline,Exam Board,1st Exam Date,1st Exam Subjects,1st Exam Results,2nd Exam Date,2nd Exam Subjects,2nd Exam Results,Interview?,Offers / Acceptance,Link for Registration,Source URL,Notes
Ewell Castle School,Independent,"Church Street, Ewell, Epsom KT17 2AW",B/G — Mixed,🟡 OPENS SOON,Open mornings; check school site,Open,Friday 30 October 2026,Own Papers (Assessment Day),Thursday 26 November 2026 (Assessment Day),English/Maths/reasoning + writing sample at school,After assessment / TBC,Friday 27 November 2026 (reserve assessment day),Reserve date only,Early 2027,Yes / Assessment Day,Offers Jan/Feb 2027,https://www.ewellcastle.co.uk/admissions-and-finance/application-form/,https://www.ewellcastle.co.uk/admissions-and-finance/application-form/,FAQ confirms 2027 deadline and assessment dates.
Fidelis College (formerly The Cedars + The Laurels),Independent,"147 Central Hill, Upper Norwood, SE19 1RS",B/G — Mixed (Catholic ethos),Check school site,Open Morning September 2026 (TBC),Open all year,Mid-November 2026 (TBC),Own Papers (English & Maths),Late November 2026 (TBC),English & Maths,Mid-February 2027 (TBC),—,—,—,"Yes (with parents, throughout Jan 2027)",Offers mid-Feb 2027,https://www.thecedarsschool.org.uk/application-form,https://www.thecedarsschool.org.uk/admissions-procedure,📛 MERGER: Cedars + Laurels → Fidelis College. Now CO-ED.
"Francis Holland School, Regent's Park",Independent,"Clarence Gate, Ivor Place, London NW1 6XR",Girls only,🟡 OPENS SOON,Two Open Mornings spring/summer 2026 + further events autumn 2026,Open now (early),Early November 2026 (TBC — was 7 Nov 2025),"London 11+ Consortium (online, adaptive)",Late November / early December 2026 (one of three Consortium dates),"100-min online: Maths, NVR, English & VR (adaptive) + Problem Solving & Analysis",—,January 2027 (interview at FHS Regent's Park),Interview + creative writing + group activities,Mid-February 2027,Yes (January 2027),Common Consortium acceptance: Wed 3 March 2027 (TBC),https://www.fhs-nw1.org.uk/admissions/admissions-11-plus/,https://www.fhs-nw1.org.uk/admissions/admissions-11-plus/,Added May 2026. NW1 Camden. ~650 applicants for 88 places. Bursaries up to 100% of fees.
"Francis Holland School, Sloane Square",Independent,"39 Graham Terrace, London SW1W 8JF",Girls only,🟡 OPENS SOON,Open Mornings spring/summer/autumn 2026,Open now,Early November 2026 (TBC — was 7 Nov 2025),"London 11+ Consortium (online, adaptive)",Tuesday 1 December 2026 (Consortium assessment at FHS Sloane Sq),"100-min online: Maths, NVR, English & VR (adaptive) + Problem Solving & Analysis",—,Friday 8 January 2027 (interview at FHS Sloane Sq),"Interview — problem-solving, critical thinking, creativity",Mid-February 2027,Yes (Fri 8 Jan 2027),Common Consortium acceptance: Wednesday 3 March 2027,https://www.fhs-sw1.org.uk/admissions/admissions-11-plus/,https://www.fhs-sw1.org.uk/admissions/joining-senior/,Added May 2026. SW1 Westminster. Sister to FH Regent's Park. Consortium member.
Greenshaw High (Sutton Consortium — partially selective),State (partially selective),"Grennell Rd, Sutton SM1 3DY",B/G — Mixed,🟢 OPEN NOW (Sutton SET),Late June 2026 (TBC),1 May 2026 (NOW OPEN),Friday 31 July 2026 (midnight) — SET registration,Own Papers (Sutton SET),Tuesday 15 September 2026,English & Maths (multiple choice) — Sutton SET Stage 1,Mid-October 2026,—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://suttonset.applicaa.com/applicationform,https://www.suttongrammar.sutton.sch.uk/admissions/registration-for-the-selective-eligibility-test,60 ability places via SET. No Stage 2.
Hampton School,Independent,"Hanworth Rd, Hampton, Middlesex TW12 3HD",Boys only,🟡 OPENS SOON,Open Mornings autumn 2026 (book on school site),Open all year (early reg encouraged),Sunday 1 November 2026,Own Papers (3 written papers),November 2026 (at the school),English Creative Writing & Comprehension (40 min); Words & Reasoning (40 min); Maths (45 min),Mid-December 2026 (shortlisting),January 2027 (interview for shortlisted boys),2 interviews with teachers (~30 min total),Mid-February 2027 (results by email),Yes (January 2027),"Offers mid-Feb 2027; accept early March 2027 with £1,600 deposit",https://hamptonschool.org.uk/admissions/registration/,https://hamptonschool.org.uk/admissions/admissions-process/,Added May 2026. Reg fee £150 (waived for PP). ~140 places. Linked to LEH. All-through 7-18 from Sept 2026.
Harris Academy Crystal Palace,"State (banded, partial aptitude selection)","Crystal Palace, Maberley Rd, London SE19 2JH",B/G — Mixed,Check school site,Open events; check academy site,1 September 2026,31 October 2026 (CAF deadline),GL Assessment (banding),December 2026 (TBC),NVR (aptitude band),—,—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.harriscrystalpalace.org.uk/,https://www.harriscrystalpalace.org.uk/,Standard state secondary CAF route; small percentage of places via banded aptitude test.
Harris Academy Purley,"State (banded, partial aptitude selection)","Kendra Hall Rd, South Croydon CR2 6DT",B/G — Mixed,Check school site,Open events; check academy site,1 September 2026,31 October 2026 (CAF deadline),GL Assessment (banding),December 2026 (TBC),NVR (aptitude band),—,—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.harrispurley.org.uk/,https://www.harrispurley.org.uk/,Standard state secondary CAF route; small percentage of places via banded aptitude test.
Harris Academy South Norwood,"State (banded, partial aptitude selection)","2 Cumberlow Avenue, London SE25 6AE",B/G — Mixed,Check school site,Open events; check academy site,1 September 2026,31 October 2026 (CAF deadline),GL Assessment (banding),December 2026 (TBC),NVR (aptitude band),—,—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.harrissouthnorwood.org.uk/,https://www.harrissouthnorwood.org.uk/,Standard state secondary CAF route; small percentage of places via banded aptitude test.
Harris Academy Sutton,"State (banded, partial aptitude selection)","2 Chiltern Rd, Sutton SM2 5RD",B/G — Mixed,Check school site,Open events; check academy site,1 September 2026,31 October 2026 (CAF deadline),GL Assessment (banding),December 2026 (TBC),NVR (aptitude band),—,—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.harrissutton.org.uk/,https://www.harrissutton.org.uk/,Standard state secondary CAF route; small percentage of places via banded aptitude test.
Highgate School,Independent,"North Rd, London N6 4AY",B/G — Mixed (co-ed),🟡 OPENS Summer 2026,Open Day Saturday 3 October 2026 (book later in summer),Summer 2026 (TBC — usually July/August),Early November 2026 (TBC),Own Papers (3 papers),Early December 2026 (at the school),"English (45 min), Maths, NVR (GL Assessment) — paper-based",Late December 2026,Mid–late January 2027 (Stage 2),Group interview + taster lessons,Early February 2027,"Yes (small group, January 2027)","Offers early Feb 2027; accept early March 2027 (£4,000 deposit)",https://www.highgateschool.org.uk/senior-school/admissions-11/,https://www.highgateschool.org.uk/senior-school/admissions-11/,Added May 2026. Reg fee £210 (£300 overseas). 90 places. Independent School of the Year 2019/2020.
James Allen's Girls' School (JAGS),Independent,"144 E Dulwich Grove, London SE22 8TE",Girls only,🟡 OPENS SOON,10 Welcome Mornings across autumn term 2026,Open now,10 November 2026,ISEB Common Pre-Test,Year 6 Autumn term 2026 (Welcome Mornings + ISEB),"ISEB Pretest: VR, NVR, English & Maths (any day Nov-8 Dec 2026)",TBC / Feb 2027,December 2026 (Welcome Morning activities),"Interview, writing task, group task",Thursday 11 February 2027 (TBC),Yes (Welcome Morning),Offers Feb 2027; accept early March 2027,https://www.jags.org.uk/admissions/standard-uk-registration-form/,https://www.jags.org.uk/admissions/joining-jags/,"120 places; ~1,200 applicants."
Kent Grammar Schools (32 grammars),Grammar,Various across Kent,B/G — Mixed and Single Sex,🟡 OPENS SOON,Different for each school,1 June 2026,1 July 2026,GL Assessment (Kent Test),Thursday 10 September 2026 (Kent residents); weekend 12–13 Sept 2026 (non-Kent),"English, Maths, VR, Spatial Reasoning + Writing Task",~Thursday 15 October 2026,—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.kent.gov.uk/education-and-children/schools/school-places/kent-test,https://www.kent.gov.uk/education-and-children/schools/school-places/kent-test/register-for-the-kent-test,Access arrangements requests by 1 July 2026.
"King's College School, Wimbledon (KCS)",Independent,"Southside, Wimbledon Common, London SW19 4TT",Boys only (girls at Sixth Form),🟡 OPENS SOON,11+ Open Evening June 2026; further dates Sept-Oct 2026,Spring 2026,Late October / early November 2026 (TBC),Own Papers,December 2026 (TBC),"English (comprehension + creative writing), Maths, VR",Early January 2027,Mid-January 2027 (interviews),Interview (shortlisted candidates),Mid-February 2027,Yes (15–17 Jan 2027 TBC),"Offers mid-Feb 2027; accept early March 2027 with £2,000 deposit",https://www.kcs.org.uk/admissions/senior-school/11plus,https://www.kcs.org.uk/admissions/senior-school/11plus,Bursary deadline mid-Nov 2026. Sport Nov/Dec 2026; Music Jan 2027.
Medway Grammar Schools (6 schools),Grammar,Various in Medway,B/G — Mixed and Single Sex,"🟡 OPENS Mon 18 May 2026, 9am",Different for each school,Monday 18 May 2026 at 9am,Friday 12 June 2026 at 5pm,Medway Test (GL Assessment),15-16 September 2026 (Medway primaries); 19-20 September 2026 (others),"English, Maths, VR + Extended Writing (English now multiple choice from 2024)",Before CAF deadline / October 2026,—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://admissions.medway.gov.uk/synergy/Admissions,https://www.medway.gov.uk/info/200137/schools_and_learning/1049/medway_test_11/2,"Chatham, Fort Pitt, Holcombe now fully co-ed from Sept 2026. Pass mark 26th percentile."
Newstead Wood School,Grammar,"Avebury Rd, Orpington BR6 9SA",Girls only,🟢 OPEN NOW,Summer term 2026 (TBC),1 May 2026 (NOW OPEN),"Midnight, Tuesday 30 June 2026 (SIF) — LATE NOT ACCEPTED","Own Papers (VR + NVR, GL Assessment)",Friday 25 or Saturday 26 September 2026 (school allocates),"VR & NVR (multiple choice, ~50 min each)",Mid-October 2026 (results by Thu 22 Oct),—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://newsteadwood.applicaa.com/year7,https://www.newsteadwood.co.uk/admissions,SIF on school website. No catchment but 9-mile priority. PAN 168.
Nonsuch High School for Girls (Sutton Consortium),Grammar,"Ewell Rd, Sutton SM3 8AB",Girls only,🟢 OPEN NOW (Sutton SET),Early July 2026 (TBC),1 May 2026 (NOW OPEN),Friday 31 July 2026 (midnight) — SET registration,Own Papers (Sutton SET + NWSSEE Stage 2),Tuesday 15 September 2026,English & Maths (multiple choice) — Sutton SET Stage 1,Mid-October 2026,Saturday 26 September 2026,English Writing Task & Maths (standard) — NWSSEE shared with Wallington Girls,Mid-late October 2026,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://suttonset.applicaa.com/applicationform,https://www.greenshawlearningtrust.co.uk/page/?title=How+to+apply:+selective+Eligibility+test+2026&pid=886,Shared 2nd stage (NWSSEE) with Wallington Girls.
"Queen Elizabeth's School, Barnet (QE Boys)",Grammar,"Queen's Rd, Barnet EN5 4DQ",Boys only,🟢 OPEN NOW,Open Day Thursday 2 July 2026 (priority booking for test registrants),Friday 1 May 2026 (NOW OPEN),Wednesday 8 July 2026 at 12 noon,QE own entrance test (GL Assessment),Wednesday 16 or Thursday 17 September 2026,"Maths & English (multiple choice, combined pass mark 225 for 2027 entry)",Thursday 1 October 2026 (provisional results),—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.qebarnet.co.uk/admissions-information/,https://www.qebarnet.co.uk/admissions-information/,"180 places; ~2,000 applicants. No catchment — offers strictly on score."
Reigate Grammar School,Independent (despite the name),"Reigate Rd, Reigate RH2 0QS",B/G — Mixed,🟡 OPENS SOON,Open Mornings + Annual Open Morning,Open all year,November 2026 (TBC),Own Papers + Online Reasoning,Mid-November 2026 (TBC),"Mathematics, English + Online VR & NVR (computer-based)",End of January 2027,Early January 2027 (assessment day),Group activities + interview,End of January 2027,Yes,Offers Jan-Feb 2027,https://www.reigategrammar.org/admissions/entry-at-11/,https://www.reigategrammar.org/admissions/entry-at-13-pt/,Reg fee £180 UK / £240 overseas. INDEPENDENT despite the name.
Riddlesdown Collegiate,State (non-selective),"Honister Heights, Purley CR8 1EX",B/G — Mixed,Check school site,Open events Sept 2026,1 September 2026,31 October 2026 (CAF deadline),n/a — non-selective,—,—,—,—,—,—,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.riddlesdown.org/admissions,https://www.riddlesdown.org/admissions,Non-selective Croydon comprehensive.
Royal Russell,Independent,"Coombe Ln, Croydon CR9 5BX",B/G — Mixed,🟡 OPENS SOON,Open events autumn 2026,Summer 2026,Wednesday 4 November 2026,Own online (Quest) + paper assessment,TBC / Assessment Day after registration,"Online test (English, Maths, VR/NVR via Quest) + creative writing task + interview + activity",TBC / Feb 2027,Scholarship assessments Nov 2026 as applicable,Sport/art/drama/music assessments as applicable,February 2027/TBC,Yes / assessment day,Offers February 2027,https://www.royalrussell.co.uk/admissions/welcome/year-7-entry-11,https://www.royalrussell.co.uk/admissions/key-dates-2025,Day and boarding places available. Reg fee £100 day / £150 boarding.
Sevenoaks School,Independent,"High St, Sevenoaks TN13 1HU",B/G — Mixed,🟢 OPEN NOW,Saturday Open Mornings + summer school-wide Open Day,Now open,Tuesday 15 September 2026,ISEB Common Pre-Test (or Kent Test/grammar score),ISEB at current school autumn term 2026; ISEB code / grammar score by early Nov 2026,"ISEB: VR, NVR, English & Maths",Mid-February 2027 (with offers),Early January 2027 (Assessment Day),English & Maths (standard) + 40-min group activity,Mid-February 2027,Yes (group interview),"Offers mid-Feb 2027; accept early March 2027 with £2,000 deposit",https://www.sevenoaksschool.org/admissions/entry-at-11/how-to-apply/,https://www.sevenoaksschool.org/admissions/entry-at-11/introduction/,80 day places (no boarding at Lower School). Reg fee £175.
South Hampstead High School (GDST),Independent,"3 Maresfield Gardens, London NW3 5SS",Girls only,🟢 OPEN NOW,Open Mornings end of summer term 2026 onwards,End of April 2026 (NOW OPEN),Early November 2026 (TBC — common with Consortium),"London 11+ Consortium (online, by Atom Learning)",Late Nov / early Dec 2026 (one of three Consortium dates),"100-min online: Maths, NVR, English & VR (adaptive) + Problem Solving & Analysis",—,Weekday in mid-January 2027 (interview + scholarship assessments),Interview + Sports/Music scholarship assessments,Mid-February 2027 (offers),Yes (mid-January 2027),Offers mid-Feb 2027; accept early March 2027,https://www.shhs.gdst.net/admissions/joining-the-senior-school/entry-at-11/,https://www.shhs.gdst.net/admissions/joining-the-senior-school/entry-at-11/,Added May 2026. NW3 Hampstead. GDST + Consortium member.
St Olave's Grammar,Grammar,"Goddington Ln, Orpington BR6 9SH",Boys only,🟡 OPENS Mon 8 June 2026,27 June 2026 (TBC),Monday 8 June 2026 (9am),Monday 29 June 2026 at 12 noon,GL Assessment (VR & NVR) + Own (Maths & English),Friday 18 September 2026,"VR, NVR, English Comprehension & Maths (multiple choice)",Mid-October 2026,Friday 13 November 2026 (Stage 2 — invited only),English & Maths (MCQ + standard),TBC,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.saintolaves.net/32/admissions-year-7,https://www.atomlearning.com/blog/bromley-11-plus,3-week reg window. SIF + passport photo + SEND/medical details required.
St Paul's Girls' School (SPGS),Independent,"Brook Green, Hammersmith, London W6 7BS",Girls only,🟡 OPENS SOON,Open Days in Autumn Term 2026 (TBC),Reg of interest now open; ISEB reg opens Tue 9 June 2026,Early November 2026 (TBC — was 10 Nov for prior cycles),ISEB Common Pre-Test (NEW for 2027 — was Cambridge Select Insight),"October or November 2026 (ISEB online, sat at current school)","ISEB: VR, NVR, English & Maths (multiple choice, adaptive)",Mid-December 2026 (Stage 2 invitations),Early January 2027 (Stage 2: written papers at SPGS),"Maths, English, Comprehension papers",Late January 2027 (interview invitations),"Yes (~15-min interview, late Jan 2027)",Offers early Feb 2027; accept early March 2027,https://spgs.org/admissions/entry-at-11/,https://spgs.org/admissions/entry-at-11/,Added May 2026. Reg fee £250. ~110 places. ⚠️ 2027 EXAM CHANGE: switching from CSI to ISEB.
St Paul's School (Boys),Independent,"Lonsdale Road, Barnes, London SW13 9JT",Boys only,🟢 OPEN NOW (13+ closes ~Sept 2026),Open events autumn 2026,Open all year,Mid-September 2026 (TBC — confirm with Registrar),ISEB Common Pre-Test (Stage 1),October or November 2026 (ISEB at current school or St Paul's),"ISEB online: VR, NVR, English & Maths (multiple choice, adaptive, ~2.5 hrs)",Mid-December 2026 (Stage 1 outcomes),January–July 2027 (Stage 2: written papers + interview),Two 25-min papers (English + Maths) + 20-min interview,Within 3 weeks of interview,Yes (Stage 2),Main List offer accepted by end Year 7; ENTRY Sept 2029 (13+ Year 9),https://www.stpaulsschool.org.uk/admissions/entry-to-st-pauls-13/,https://www.stpaulsschool.org.uk/admissions/entry-to-st-pauls-13/selection-procedure/,"Added May 2026. Main entry 13+ (Year 9, Sept 2029). ALSO 11+ to St Paul's Juniors (Year 7, Sept 2027). Must choose 11+ OR 13+."
Sutton Grammar (Sutton Consortium),Grammar,"Manor Ln, Sutton SM1 4AS",Boys only,🟢 OPEN NOW (Sutton SET),September 2026 (TBC),1 May 2026 (NOW OPEN),Friday 31 July 2026 (midnight) — SET registration,Own Papers (Sutton SET + shared 2nd Stage),Tuesday 15 September 2026,English & Maths (multiple choice) — Sutton SET Stage 1,Mid-October 2026,Saturday 3 October 2026,English Writing Task & Maths (standard) — shared with Wilson's & Wallington Boys,Mid-late October 2026,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://suttonset.applicaa.com/applicationform,https://www.suttongrammar.sutton.sch.uk/admissions/faqs/,"Catchment SM1-7, KT4, KT17, CR0 4, CR4. SEN deadline 12 June 2026."
Sutton High (GDST),Independent,"55 Cheam Rd, Sutton SM1 2AX",Girls only,🟡 OPENS SOON,Summer 2026 (TBC),Summer 2026,Mid-September 2026 (TBC),Own Papers (Quest online + paper-based),Nov/Dec 2026 (TBC),"Online VR, online English comp, Maths + paper-based NVR",By 22 December 2026,—,—,—,"Yes (brief, with Senior Staff member)","Offer letters by 22 Dec 2026; deposit £1,000",https://application.gdst.net/school/sutton-high-school/,https://www.suttonhigh.gdst.net/admissions/how-to-apply/senior-school-admissions/,GDST. Reg fee £150 (£240 overseas).
The Henrietta Barnett School,Grammar,"Central Square, London NW11 7BN",Girls only,🟢 OPEN NOW,Open Day Tuesday 30 June 2026 (book from 3 June 2026),1 April 2026,Wednesday 1 July 2026 (5pm) — LATE NOT ACCEPTED,GL Assessment (2 stage),"2nd, 3rd or 4th September 2026 (allocated)","English, VR & NVR (multiple choice)",By 28 September 2026,Monday 5 October 2026 (top 300 candidates),English & Maths (standard),Mid-late October 2026,No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.smartsurvey.co.uk/s/Year7AdmissionsEntry2027/,https://www.hbschool.org.uk/admissions/,"PAN 120 for Sept 2027. ~2,000 applicants. 3-mile priority. SEN deadline 12 June 2026."
The Tiffin Girls' School,Grammar,"Richmond Rd, Kingston KT2 5PL",Girls only,🟡 OPENS Tue 2 June 2026,"Open evening 7 July 2026, 4.30–7.30pm",Tuesday 2 June 2026,Friday 4 September 2026 at 12 noon,Own Papers (Quest),October 2026 (Stage 1),English & Maths (multiple choice) — Stage 1,Mid-October 2026,Mid-November 2026 (Stage 2),English & Maths (standard),1 March 2027 (National Offer Day),No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.tiffingirls.org/admissions/year-7/,https://www.tiffingirls.org/admissions/year-7/,Shares Stage 1 & 2 with Tiffin Boys. PAN 180.
Tiffin School (Boys),Grammar,"Queen Elizabeth Rd, Kingston KT2 6RL",Boys only,🟡 OPENS Fri 5 June 2026,Open evening 30 June 2026 (TBC),Friday 5 June 2026,Friday 4 September 2026 at 12 noon — no late apps,Own Papers (Quest),Friday 2 October 2026,English & Maths (multiple choice) — Stage 1,Friday 16 October 2026,Mid-November 2026 (Stage 2),English & Maths (standard),1 March 2027 (National Offer Day),No,CAF 31 Oct 2026; National Offer Day 1 Mar 2027,https://www.tiffinschool.co.uk/admissions/year-7-admissions/,https://www.tiffinschool.co.uk/admissions/year-7-admissions/,Sports/Music aptitude reg deadline 6 July 2026. Priority area: 10km.
Trinity School (Croydon),Independent,"Shirley Park, Croydon CR9 7AT",🚺 Mixed for 10+/11+ from 2027; boys higher years,🟡 OPENS SOON,Open events/tours autumn 2026,Register interest now; applications TBC,Mid-October 2026 (TBC),Own Papers (ISEB online + tasks),Mid-December 2026 (TBC),"70 Mins ISEB online: VR, NVR, English, Maths, 30 Mins  Guided Writing",Mid-February 2027 (TBC),—,—,—,Yes,Bursary register: 2 Sept – 6 Nov 2026 via Whitgift Foundation,https://trinity-school.org/admissions/11-plus/,https://www.trinity-school.org/admissions/,🚺 First co-educational intake into Years 6 and 7 in Sept 2027. Fully co-ed by 2031.
