School,Registration Fee,Location,Exam Format,Assessment,Scholarships Offered,Interview / Group Activity,Registration Close Date,1st Exam Date,1st Exam Format/Subjects,1st Stage Result,2nd Stage Exam Date,2nd Exam Format/Subjects,2nd Stage Result,Interviews Date,Offer Date,Offer Accept By Date,Info Link,Registeration Closes,Co-ed
London Park School (formerly Eaton Square Seniors),,Mayfair,,Digital Data and Discovery Day,"Academic, Creative Art, Sport and All-Rounder",All,,,,,,,,,,,,November prior to year of entry,Yes
More House,£150,Knightsbridge,Online Cognitive Consortium Test,Online Cognitive Consortium Test,"Academic, Sport, Art & Design, Drama, Music",All,6-Nov,,,,NA,,,,12-Feb,noon on 3-Mar,https://www.morehouse.org.uk/admissions/joining-more-house/,November prior to year of entry,No
North London Collegiate School,£150,Edgware,School,Maths and English written papers,"Academic, Music and Sport",Shortlisted,13-Nov,3-Dec,,,,,,11 to 22-Jan,mid Feb,early March,https://www.nlcs.org.uk/admissions/joining-the-senior-school/,November prior to year of entry,No
Notting Hill & Ealing,£210,Ealing,Online Cognitive Consortium Test,Online Cognitive Consortium Test,"Academic, Sport and Music",All,6-Nov,,,,,,,,,,https://nhehs.gdst.net/admissions/how-to-apply/,November prior to year of entry,No
Putney High,£250,Putney,GDST,Shared assessment with Wimbledon High,"Academic, Sport and Music",All Ken Prep pupils (and a guaranteed offer from a GDST school),Noon 3-Nov,20-Nov,,,,,,,,,,November prior to year of entry,No
Queen’s College,£180,"Marylebone, Westminster",Online Cognitive Consortium Test,Online Cognitive Consortium Test,"Academic, Music, Drama, Dance, Sport and Art",All,6-Nov,,,,,,,4/7-Jan,12-Feb,noon on 3-Mar,https://www.qcl.org.uk/admissions/11-admissions,November prior to year of entry,No
Queen’s Gate,£192,South Kensington,Online Cognitive Consortium Test,Online Cognitive Consortium Test,"Academic, Art, Music, Drama and Sport",All,6-Nov,,,,,,,9 and 11-Jan,12-Feb,noon on 3-Mar,https://www.queensgate.org.uk/admissions/admissions-process/,November prior to year of entry,No
South Hampstead High,£210,"South Hampstead, North London",Online Cognitive Consortium Test,Online Cognitive Consortium Test,"Academic, Music and Sport",Shortlisted,noon 6-Nov,,,,,,,20-Jan,12-Feb,noon on 3-Mar,https://www.shhs.gdst.net/admissions/joining-the-senior-school/entry-at-11/,November prior to year of entry,No
St James Senior Girls’ School,£150,Kensington Olympia,Online Cognitive Consortium Test,Online Cognitive Consortium Test,"Academic, Music, Art, Drama and Sport",All,,,,,,,,,,,,November prior to year of entry,"Yes, for Years 7 and 12 from Sep 2027"
St Paul’s Girls,£265,Hammersmith,ISEB,"Computer Testing, Maths, English written papers, Comprehension",Music,Shortlisted,6-Nov 9:00 AM,late Nov,,,5-Dec,,,16/24-Jan,12-Feb,2-Mar,,November prior to year of entry,No
Thomas’s College,,Richmond,,"ISEB/GL/CEM, written entrance examination","Academic, Sport, Creative and Performing Arts",Shortlisted,,,,,,,,,,,,November prior to year of entry,Yes
Westminster Under School,£360,Westminster,ISEB,Online ISEB Common Pre-Test,Academic and Music,Shortlisted,30-Sep,,,,,,,,,,,End September prior to year of entry,Yes
Wetherby Pembridge (opened Sep 2025),,Olympia,School (Quest),Online examination,"Academic, Sport and Performing Arts",Shortlisted,30-Oct,21-Nov,,,,,,16-Jan,12-Feb,Noon 5-Mar,https://www.wetherbypembridge.co.uk/admissions/admissions-process,November prior to year of entry,Yes
Wimbledon High,£250,Wimbledon,GDST,Shared assessment with Putney High,"Academic, Music, Drama and Sport",All Ken Prep pupils (and a guaranteed offer from a GDST school),3-Nov,17/18-Nov,,,8-Jan,,,,late Feb,,https://www.wimbledonhigh.gdst.net/admissions/senior-admissions/,October prior to year of entry,No
